Instant food products,Dried food that reconstitutes when water is added ,Miscellaneous 
UHT-milk,Ultra high temperature processed milk,Dairy Products 
abrasive cleaner,Mechanical cleaners ,Cleaning Items 
Artificial sweetener,Substitute for sugar,Grocery Items
baby cosmetics,Cosmetic Product ,Baby Products 
baby food,"Soft, easily consumed food for babies ",Baby Products 
bags,Shopping bags ,Miscellaneous 
baking powder,Cake ingredient ,Grocery Items
bathroom cleaner,Chemical cleaner ,Cleaning Items 
beef,"Meat: ""Cow"" ",Fish and Meat 
berries,Fruit Item,Fruits and Vegetables 
beverages,A drink item ,Beverages 
bottled beer,Alcoholic beverage ,Liquor
bottled water,bottled water,Beverages 
brandy,Alcoholic beverage,Liquor
brown bread,"Bread: ""Bakery Product"" ",Bakery Products 
butter,Dairy Product ,Dairy Products 
butter milk,Dairy Product 2,Dairy Products 
cake bar,Bakery Product 2,Bakery Products 
candles,Miscellaneous Item,Miscellaneous 
candy,Sweet Product,Grocery Items
canned beer,Alcoholic beverage ,Liquor
canned fish,Canned food item ,Grocery Items
canned fruit,Canned food item 2,Grocery Items
canned vegetables,Canned food item 3,Grocery Items
cat food,Animal food item ,Pet Food
cereals,Breakfast food item ,Grocery Items
chewing gum,Miscellaneous Item 2,Miscellaneous 
chicken,"Meat: ""Chicken"" ",Fish and Meat 
chocolate,Sweet Item 2,Grocery Items
chocolate marshmallow,Sweet Item 3,Grocery Items
citrus fruit,Fruit Item,Fruits and Vegetables 
cleaner,Cleaning product,Cleaning Items 
cling film/bags,Food Wrapper,Miscellaneous 
cocoa drinks,Beverage ,Beverages 
coffee,Coffee Powder,Grocery Items
condensed milk,Bakery Product 3,Grocery Items
cooking chocolate,Bakery Product 4,Grocery Items
cookware,Cooking Utensils ,Kitchenware
cream,Cosmetic Product 2,Cosmetic Item
cream cheese ,Dairy Product 3,Dairy Products 
curd,Dairy Product 4,Dairy Products 
curd cheese,Dairy Product 5,Dairy Products 
decalcifier,Miscellaneous Item 3,Miscellaneous 
dental care,Hygienic Product ,Miscellaneous 
dessert,Sweet Item 4,Bakery Products 
detergent,Cleaning product 2,Cleaning Items 
dish cleaner,Cleaning Product 5,Cleaning Items 
dishes,Cooking Utensils  2,Kitchenware
dog food,Animal food item ,Pet Food
domestic eggs,Dairy Product 6,Grocery Items
female sanitary products,Hygienic Items 2,Miscellaneous 
finished products,Finished products ,Miscellaneous 
fish,Fish,Fish and Meat 
flour,Cake ingredient 2,Grocery Items
flower (seeds),Flower seed,Gardening Product
flower soil/fertilizer,Fertilizer ,Gardening Product
frankfurter,Processed Meat Product,Processed Meat Products
frozen chicken,Frozen food item ,Frozen Food Items
frozen dessert,Frozen food item 2,Frozen Food Items
frozen fish,Frozen food item 3,Frozen Food Items
frozen fruits,Frozen food item 4,Frozen Food Items
frozen meals,Frozen food item 5,Frozen Food Items
frozen potato products,Frozen food item 6,Frozen Food Items
frozen vegetables,Frozen food item 7,Frozen Food Items
fruit/vegetable juice,Beverage ,Beverages 
grapes,Fruit Item 2,Fruits and Vegetables 
hair spray,Cosmetic Product 3,Cosmetic Item
ham,Processed Meat Product 2,Processed Meat Products
hamburger meat,Processed Meat Product 3,Processed Meat Products
hard cheese,Dairy Product 6,Dairy Products 
herbs,Herbal Product ,Miscellaneous 
honey,Organic Food,Miscellaneous 
house keeping products,Cleaning Product,Cleaning Items 
hygiene articles,Hygienic Product 3,Miscellaneous 
ice cream,Sweet Product 2 ,Grocery Items
instant coffee,Beverage ,Grocery Items
jam,Processed Food Item 2,Grocery Items
ketchup,Processed Food Item 3,Grocery Items
kitchen towels,Kitchenware Item,Kitchenware
kitchen utensil,Kitchenware Item 2,Kitchenware
light bulbs,Household Item ,Miscellaneous 
liqueur,Alcoholic ,Liquor
liquor,Alcoholic Beverage,Liquor
liquor (appetizer),Alcoholic Beverage,Liquor
liver loaf,Processed Meat Product 4,Fish and Meat 
long life bakery product,Bakery Product 5,Bakery Products 
make up remover,Cosmetic Product  4,Cosmetic Item
male cosmetics,Cosmetic Product 5,Cosmetic Item
margarine,Dairy Product 7,Dairy Products 
mayonnaise,Processed Food Product ,Grocery Items
meat,Meat,Fish and Meat 
meat spreads,Processed Meat Product 5,Processed Meat Products
misc. beverages,Beverage ,Beverages 
mustard,Processed Food Product ,Grocery Items
napkins,Kitchenware Item 2,Kitchenware
newspapers,Miscellaneous ,Miscellaneous 
nut snack,Nut food item ,Grocery Items
nuts/prunes,Nuts food item 2,Grocery Items
oil,Oil food item 1,Grocery Items
onions,Vegetable item ,Fruits and Vegetables 
organic products,Organic food item 1,Grocery Items
organic sausage,Organic food item 2,Grocery Items
other vegetables,Vegetable item 2,Fruits and Vegetables 
packaged fruit/vegetables,Packaged food item ,Fruits and Vegetables 
pasta,Miscellaneous Item 4,Miscellaneous 
pastry,Processed Food Item,Bakery Products 
pet care,Animal Item,Pet Food
photo/film,Miscellaneous Item 5,Miscellaneous 
pickled vegetables,Processed Food Item,Fruits and Vegetables 
pip fruit,Fruit Item 3,Fruits and Vegetables 
popcorn,Miscellaneous Item 6,Grocery Items
pork,"Meat: ""Pig""",Fish and Meat 
pot plants,Gardening Products ,Gardening Product
potato products,Processed Food Item,Grocery Items
preservation products,Miscellaneous Item 7,Miscellaneous 
processed cheese,Dairy Product 8,Dairy Products 
prosecco,Alcoholic Beverage,Liquor
pudding powder,Dessert Ingredient ,Grocery Items
ready soups,Processed Food Item,Grocery Items
red/blush wine,Alcoholic Beverage ,Liquor
rice,Miscellaneous Item 8,Grocery Items
roll products ,Processed Food Item,Bakery Products 
rolls/buns,Processed Food Item,Bakery Products 
root vegetables,Vegetable Item 3,Fruits and Vegetables 
rubbing alcohol,Miscellaneous Item 8,Miscellaneous 
rum,Alcoholic Beverage,Liquor
salad dressing,Processed Food Item,Grocery Items
salt,Miscellaneous Item 9,Grocery Items
salty snack,Processed Food Item,Grocery Items
sauces,Processed Food Item,Grocery Items
sausage,Processed Food Item,Grocery Items
seasonal products,Miscellaneous Item 10,Grocery Items
semi-finished bread,Bakery Prodcuts ,Bakery Products 
shopping bags,Miscellaneous Item 11,Miscellaneous 
skin care,Hygenic Products ,Cosmetic Item
sliced cheese,Dairy Product 9,Dairy Products 
snack products,Miscellaneous Item 12,Grocery Items
soap,Hygenic Product ,Cosmetic Item
soda,Beverage ,Beverages 
soft cheese,Dairy Product 9,Dairy Products 
softener,Miscellaneous Item 13,Miscellaneous 
sound storage medium,Miscellaneous Item 14,Miscellaneous 
soups,Processed Food Item,Grocery Items
sparkling wine,Alcoholic Beverages,Liquor
specialty bar,Miscellaneous Item 15,Grocery Items
specialty cheese,Dairy Product 10,Dairy Products 
specialty chocolate,Sweet Item 3,Grocery Items
specialty fat,Miscellaneous Item 16,Miscellaneous 
specialty vegetables,Vegetable Items,Fruits and Vegetables 
spices,Miscellaneous Item 17,Grocery Items
spread cheese,Dairy Product 11,Dairy Products 
sugar,Sweet Item 4,Grocery Items
sweet spreads,Dairy Product 12,Dairy Products 
syrup,Miscellaneous Item 18,Grocery Items
tea,Miscellaneous Item 19,Grocery Items
tidbits,Miscellaneous Item 20,Grocery Items
toilet cleaner,Cleaning Product,Cleaning Items 
tropical fruit,Miscellaneous Item 21,Fruits and Vegetables 
turkey,"Meat: ""Turkey""",Fish and Meat 
vinegar,Cooking Products ,Grocery Items
waffles,Sweet Item 5,Bakery Products 
whipped/sour cream,Dairy Product 13,Dairy Products 
whisky,Alcoholic Beverage,Liquor
white bread,Bakery Products ,Bakery Products 
white wine,Alcoholic Beverages ,Liquor
whole milk,Dairy Product 14,Dairy Products 
yogurt,Dairy Product 15,Dairy Products 
zwieback,Bakery Products ,Bakery Products 
