waffles,sweet spreads,ice cream,artif. sweetener,sauces,canned beer,sweet spreads,chewing gum,whisky,pet care,,,,,,,
ice cream,chewing gum,chewing gum,liqueur,pudding powder,ice cream,beverages,ice cream,detergent,organic products,canned fish,soups,liver loaf,waffles,,,
waffles,pickled vegetables,chewing gum,rolls/buns,ice cream,spread cheese,hygiene articles,herbs,,,,,,,,,
semi-finished bread,house keeping products,frozen potato products,ice cream,salad dressing,chewing gum,liquor (appetizer),tidbits,tropical fruit,waffles,spread cheese,,,,,,
ice cream,pot plants,waffles,chewing gum,tidbits,,,,,,,,,,,,
beef,chewing gum,ice cream,frozen fruits,waffles,hair spray,root vegetables,soap,liver loaf,,,,,,,,
beverages,nuts/prunes,chewing gum,soap,waffles,sweet spreads,mustard,ice cream,oil,specialty fat,,,,,,,
bottled water,tea,turkey,mustard,bottled beer,ice cream,chewing gum,waffles,domestic eggs,white bread,,,,,,,
waffles,ice cream,house keeping products,hard cheese,spices,pickled vegetables,specialty cheese,abrasive cleaner,coffee,pudding powder,chewing gum,,,,,,
salty snack,specialty fat,pasta,house keeping products,processed cheese,candy,ice cream,baby food,skin care,waffles,fruit/vegetable juice,chewing gum,,,,,
waffles,instant coffee,ice cream,make up remover,pot plants,bathroom cleaner,chewing gum,cling film/bags,hamburger meat,cleaner,dessert,ketchup,chicken,margarine,,,
whole milk,chewing gum,waffles,butter milk,ice cream,whipped/sour cream,,,,,,,,,,,
flour,waffles,white bread,ice cream,chewing gum,,,,,,,,,,,,
waffles,dessert,chewing gum,jam,ketchup,vinegar,meat spreads,ice cream,cat food,,,,,,,,
vinegar,waffles,cat food,frankfurter,canned vegetables,decalcifier,ice cream,fish,chewing gum,canned fish,,,,,,,
skin care,red/blush wine,nut snack,ice cream,dishes,chewing gum,canned vegetables,butter milk,liquor,waffles,,,,,,,
frozen vegetables,waffles,chewing gum,white bread,flower soil/fertilizer,ice cream,,,,,,,,,,,
chicken,pet care,chewing gum,ice cream,specialty chocolate,waffles,seasonal products,male cosmetics,rice,,,,,,,,
waffles,ice cream,frankfurter,ice cream,chewing gum,margarine,cocoa drinks,soups,,,,,,,,,
waffles,pet care,beef,ice cream,chewing gum,,,,,,,,,,,,
chewing gum,waffles,ice cream,pip fruit,sausage,pickled vegetables,,,,,,,,,,,
popcorn,chewing gum,ice cream,decalcifier,bottled water,waffles,misc. beverages,other vegetables,spices,frankfurter,,,,,,,
bathroom cleaner,chewing gum,baby cosmetics,waffles,rice,canned vegetables,canned fish,ice cream,tidbits,meat spreads,,,,,,,
waffles,popcorn,chewing gum,ice cream,,,,,,,,,,,,,
specialty fat,margarine,frozen fish,ice cream,beef,detergent,waffles,chewing gum,,,,,,,,,
bottled beer,waffles,tropical fruit,cookware,ice cream,chewing gum,,,,,,,,,,,
pudding powder,canned beer,waffles,chewing gum,ice cream,,,,,,,,,,,,
rubbing alcohol,waffles,sugar,chewing gum,ice cream,brown bread,white wine,,,,,,,,,,
processed cheese,soft cheese,margarine,waffles,ice cream,light bulbs,chewing gum,canned fish,white bread,,,,,,,,
cream cheese ,chewing gum,ice cream,candy,canned fish,waffles,popcorn,curd,,,,,,,,,
spices,kitchen utensil,waffles,jam,berries,artif. sweetener,cereals,chewing gum,ice cream,,,,,,,,
soft cheese,waffles,whipped/sour cream,chewing gum,ice cream,,,,,,,,,,,,
waffles,chewing gum,ice cream,liquor,soap,honey,white bread,,,,,,,,,,
whisky,vinegar,waffles,chewing gum,ice cream,frozen fruits,,,,,,,,,,,
waffles,ready soups,potato products,rolls/buns,liquor,cream,decalcifier,cookware,ice cream,chewing gum,,,,,,,
chewing gum,white wine,ice cream,waffles,,,,,,,,,,,,,
canned beer,syrup,coffee,tropical fruit,waffles,ice cream,rum,ice cream,cleaner,chewing gum,newspapers,,,,,,
ketchup,other vegetables,sparkling wine,soda,cream cheese ,hair spray,decalcifier,chewing gum,cat food,waffles,ice cream,,,,,,
liqueur,waffles,dish cleaner,chewing gum,ice cream,,,,,,,,,,,,
chewing gum,ham,sugar,cream cheese ,organic sausage,waffles,beef,waffles,cling film/bags,sliced cheese,ice cream,,,,,,
finished products,ice cream,dishes,waffles,frozen fish,pet care,chewing gum,,,,,,,,,,
bathroom cleaner,chewing gum,ice cream,waffles,,,,,,,,,,,,,
frozen vegetables,organic products,chewing gum,ice cream,frankfurter,nut snack,waffles,cat food,bottled water,,,,,,,,
ice cream,newspapers,waffles,chewing gum,cake bar,zwieback,,,,,,,,,,,
waffles,red/blush wine,chewing gum,UHT-milk,ice cream,,,,,,,,,,,,
waffles,ice cream,cream cheese ,chewing gum,pasta,,,,,,,,,,,,
ice cream,dental care,pasta,chewing gum,decalcifier,waffles,,,,,,,,,,,
waffles,chewing gum,ice cream,butter milk,,,,,,,,,,,,,
organic sausage,chewing gum,ice cream,waffles,,,,,,,,,,,,,
curd cheese,ice cream,brandy,waffles,cream,sparkling wine,white bread,chewing gum,hamburger meat,,,,,,,,
spices,ice cream,cling film/bags,skin care,waffles,chewing gum,,,,,,,,,,,
chewing gum,waffles,softener,ice cream,,,,,,,,,,,,,
sauces,chewing gum,artif. sweetener,potato products,waffles,ice cream,salt,cleaner,misc. beverages,,,,,,,,
sliced cheese,waffles,ice cream,chewing gum,cake bar,pot plants,long life bakery product,berries,,,,,,,,,
frankfurter,chewing gum,waffles,ice cream,liquor,,,,,,,,,,,,
ice cream,chewing gum,sparkling wine,frankfurter,waffles,bags,sweet spreads,,,,,,,,,,
light bulbs,sound storage medium,chewing gum,dish cleaner,rice,yogurt,waffles,frankfurter,ice cream,frankfurter,frozen chicken,,,,,,
ice cream,sweet spreads,chewing gum,bottled beer,spread cheese,jam,jam,domestic eggs,potato products,waffles,,,,,,,
grapes,waffles,chewing gum,ice cream,,,,,,,,,,,,,
frozen dessert,ice cream,specialty vegetables,chewing gum,ice cream,canned fish,canned fruit,waffles,organic products,herbs,frozen meals,,,,,,
chewing gum,cleaner,domestic eggs,waffles,ice cream,butter milk,,,,,,,,,,,
waffles,ready soups,ice cream,popcorn,chewing gum,ketchup,white bread,skin care,rubbing alcohol,mayonnaise,,,,,,,
chocolate,chewing gum,sausage,fish,misc. beverages,specialty chocolate,ice cream,waffles,whole milk,hamburger meat,,,,,,,
cooking chocolate,specialty bar,kitchen utensil,beverages,chewing gum,ice cream,specialty cheese,sparkling wine,light bulbs,waffles,,,,,,,
brown bread,photo/film,chewing gum,ice cream,whipped/sour cream,sauces,waffles,soda,,,,,,,,,
pet care,waffles,ice cream,chewing gum,,,,,,,,,,,,,
waffles,chewing gum,ice cream,pasta,,,,,,,,,,,,,
waffles,canned vegetables,canned vegetables,ice cream,pip fruit,chewing gum,tropical fruit,,,,,,,,,,
frozen dessert,liver loaf,meat,waffles,ice cream,mayonnaise,chewing gum,male cosmetics,,,,,,,,,
chewing gum,waffles,baking powder,ice cream,sound storage medium,,,,,,,,,,,,
waffles,ice cream,meat spreads,chewing gum,,,,,,,,,,,,,
waffles,candles,curd cheese,ice cream,chewing gum,soda,pudding powder,,,,,,,,,,
jam,chocolate,fish,cereals,ice cream,chewing gum,waffles,canned vegetables,grapes,cleaner,finished products,,,,,,
soft cheese,ketchup,chewing gum,waffles,frozen vegetables,ice cream,condensed milk,,,,,,,,,,
nuts/prunes,waffles,dish cleaner,chewing gum,ice cream,cake bar,flower soil/fertilizer,,,,,,,,,,
potato products,long life bakery product,chewing gum,prosecco,ice cream,waffles,skin care,,,,,,,,,,
waffles,soda,chewing gum,soft cheese,coffee,ice cream,,,,,,,,,,,
specialty fat,ice cream,pasta,waffles,salty snack,margarine,chewing gum,,,,,,,,,,
pip fruit,baking powder,chewing gum,coffee,waffles,ice cream,brown bread,hygiene articles,salad dressing,,,,,,,,
ice cream,dessert,chewing gum,other vegetables,waffles,whole milk,,,,,,,,,,,
finished products,ice cream,waffles,chewing gum,,,,,,,,,,,,,
ice cream,brandy,frozen potato products,chewing gum,rubbing alcohol,shopping bags,waffles,,,,,,,,,,
ice cream,instant coffee,softener,fruit/vegetable juice,snack products,ham,oil,frozen vegetables,waffles,chewing gum,rubbing alcohol,,,,,,
margarine,skin care,toilet cleaner,ice cream,preservation products,zwieback,sugar,chewing gum,waffles,abrasive cleaner,shopping bags,,,,,,
ice cream,chewing gum,margarine,waffles,,,,,,,,,,,,,
ice cream,curd cheese,cake bar,frozen potato products,chewing gum,sugar,soda,waffles,,,,,,,,,
specialty vegetables,sausage,bottled water,chewing gum,waffles,vinegar,newspapers,ice cream,,,,,,,,,
semi-finished bread,mayonnaise,beef,liquor (appetizer),waffles,dental care,bottled beer,ice cream,roll products ,chewing gum,specialty chocolate,,,,,,
female sanitary products,artif. sweetener,waffles,pork,chewing gum,beef,ice cream,specialty vegetables,,,,,,,,,
waffles,rum,ice cream,chewing gum,snack products,syrup,,,,,,,,,,,
syrup,herbs,waffles,salad dressing,tropical fruit,finished products,coffee,pudding powder,ice cream,chewing gum,,,,,,,
curd cheese,waffles,ice cream,chewing gum,,,,,,,,,,,,,
whisky,chewing gum,cat food,salad dressing,waffles,kitchen towels,ice cream,,,,,,,,,,
waffles,chewing gum,ice cream,chewing gum,,,,,,,,,,,,,
ketchup,waffles,ice cream,cat food,ice cream,chewing gum,,,,,,,,,,,
snack products,ice cream,waffles,chewing gum,,,,,,,,,,,,,
make up remover,chewing gum,whole milk,waffles,ice cream,hamburger meat,,,,,,,,,,,
chewing gum,cereals,waffles,ice cream,,,,,,,,,,,,,
chewing gum,ice cream,waffles,spices,,,,,,,,,,,,,
pip fruit,ice cream,chewing gum,yogurt,waffles,,,,,,,,,,,,
pip fruit,cereals,ice cream,dental care,waffles,chewing gum,,,,,,,,,,,
salad dressing,waffles,chewing gum,house keeping products,ice cream,flower soil/fertilizer,,,,,,,,,,,
salty snack,ice cream,waffles,chewing gum,,,,,,,,,,,,,
dog food,chewing gum,seasonal products,ice cream,waffles,canned fruit,,,,,,,,,,,
chewing gum,waffles,kitchen utensil,ice cream,,,,,,,,,,,,,
cleaner,specialty cheese,meat spreads,chewing gum,ice cream,waffles,,,,,,,,,,,
waffles,ice cream,nuts/prunes,chewing gum,sparkling wine,tea,,,,,,,,,,,
waffles,bottled beer,pork,chewing gum,curd,ice cream,,,,,,,,,,,
shopping bags,oil,chewing gum,ice cream,waffles,,,,,,,,,,,,
waffles,baby food,ice cream,chewing gum,,,,,,,,,,,,,
ice cream,frozen potato products,waffles,ketchup,chewing gum,,,,,,,,,,,,
ice cream,baby cosmetics,chocolate marshmallow,nut snack,waffles,chewing gum,,,,,,,,,,,
soups,waffles,soft cheese,ice cream,chewing gum,,,,,,,,,,,,
canned fruit,chewing gum,berries,ice cream,waffles,,,,,,,,,,,,
pastry,ice cream,coffee,chewing gum,bottled beer,waffles,,,,,,,,,,,
ice cream,brandy,chewing gum,waffles,,,,,,,,,,,,,
cake bar,ice cream,chewing gum,waffles,organic sausage,,,,,,,,,,,,
waffles,ice cream,kitchen utensil,chewing gum,,,,,,,,,,,,,
sugar,chewing gum,ice cream,waffles,,,,,,,,,,,,,
chewing gum,waffles,ice cream,misc. beverages,chicken,instant coffee,,,,,,,,,,,
chewing gum,mustard,flour,waffles,ice cream,pork,,,,,,,,,,,
ice cream,beef,chewing gum,abrasive cleaner,waffles,,,,,,,,,,,,
waffles,ice cream,chewing gum,pasta,berries,,,,,,,,,,,,
sweet spreads,waffles,chewing gum,ice cream,,,,,,,,,,,,,
chewing gum,ice cream,waffles,ham,,,,,,,,,,,,,
chewing gum,waffles,ice cream,berries,,,,,,,,,,,,,
flour,ice cream,waffles,chewing gum,root vegetables,,,,,,,,,,,,
chewing gum,nut snack,ice cream,waffles,,,,,,,,,,,,,
chewing gum,waffles,citrus fruit,pudding powder,hygiene articles,ice cream,,,,,,,,,,,
chocolate,waffles,ice cream,chewing gum,,,,,,,,,,,,,
waffles,chewing gum,flower (seeds),ice cream,,,,,,,,,,,,,
shopping bags,chewing gum,organic sausage,waffles,ice cream,salt,,,,,,,,,,,
ice cream,liqueur,chewing gum,waffles,sugar,,,,,,,,,,,,
waffles,chicken,beef,bottled water,ice cream,chewing gum,,,,,,,,,,,
ice cream,bottled water,chewing gum,turkey,seasonal products,waffles,,,,,,,,,,,
waffles,sugar,curd cheese,chewing gum,napkins,ice cream,,,,,,,,,,,
chewing gum,waffles,chewing gum,ice cream,snack products,,,,,,,,,,,,
ice cream,chewing gum,misc. beverages,spread cheese,liquor,waffles,,,,,,,,,,,
ice cream,salt,frozen potato products,root vegetables,chewing gum,waffles,,,,,,,,,,,
ice cream,liqueur,chewing gum,organic sausage,waffles,,,,,,,,,,,,
ice cream,sweet spreads,waffles,chewing gum,,,,,,,,,,,,,
ice cream,yogurt,chewing gum,waffles,mustard,,,,,,,,,,,,
waffles,make up remover,frozen chicken,packaged fruit/vegetables,ice cream,chewing gum,,,,,,,,,,,
waffles,frozen vegetables,liver loaf,ice cream,chewing gum,,,,,,,,,,,,
chewing gum,ice cream,chocolate marshmallow,whipped/sour cream,bags,waffles,,,,,,,,,,,
frozen fruits,ice cream,waffles,chewing gum,coffee,photo/film,,,,,,,,,,,
chewing gum,waffles,ham,herbs,ice cream,,,,,,,,,,,,
chewing gum,waffles,berries,ice cream,,,,,,,,,,,,,
abrasive cleaner,berries,waffles,liquor,chewing gum,ice cream,,,,,,,,,,,
ice cream,waffles,brandy,chewing gum,ketchup,,,,,,,,,,,,
curd,spread cheese,chewing gum,waffles,ice cream,,,,,,,,,,,,
ice cream,chewing gum,waffles,cereals,other vegetables,liquor,,,,,,,,,,,
baby food,waffles,chewing gum,ice cream,,,,,,,,,,,,,
ice cream,chewing gum,skin care,white wine,mayonnaise,waffles,,,,,,,,,,,
chewing gum,ice cream,oil,waffles,,,,,,,,,,,,,
waffles,ice cream,chewing gum,pork,,,,,,,,,,,,,
shopping bags,waffles,ice cream,chewing gum,,,,,,,,,,,,,
ice cream,waffles,cereals,chewing gum,,,,,,,,,,,,,
waffles,chewing gum,ice cream,kitchen utensil,,,,,,,,,,,,,
ice cream,waffles,pasta,chewing gum,sweet spreads,,,,,,,,,,,,
turkey,frozen potato products,chewing gum,snack products,waffles,ice cream,,,,,,,,,,,
zwieback,ice cream,cleaner,chewing gum,waffles,meat,,,,,,,,,,,
waffles,ice cream,potato products,male cosmetics,chewing gum,,,,,,,,,,,,
chewing gum,cake bar,waffles,dental care,cleaner,ice cream,,,,,,,,,,,
ice cream,waffles,sliced cheese,whole milk,chewing gum,,,,,,,,,,,,
finished products,salty snack,chewing gum,ice cream,waffles,,,,,,,,,,,,
waffles,ice cream,pork,specialty bar,turkey,chewing gum,,,,,,,,,,,
chewing gum,decalcifier,waffles,chocolate marshmallow,ice cream,,,,,,,,,,,,
cocoa drinks,ice cream,waffles,herbs,chewing gum,ready soups,,,,,,,,,,,
honey,ice cream,baby food,chewing gum,waffles,,,,,,,,,,,,
ice cream,chewing gum,chocolate,waffles,popcorn,liqueur,,,,,,,,,,,
fish,ice cream,waffles,chewing gum,,,,,,,,,,,,,
pork,waffles,chewing gum,ice cream,,,,,,,,,,,,,
chewing gum,prosecco,ice cream,waffles,misc. beverages,,,,,,,,,,,,
waffles,other vegetables,chewing gum,condensed milk,ice cream,,,,,,,,,,,,
pork,chewing gum,ice cream,waffles,pasta,,,,,,,,,,,,
ice cream,waffles,long life bakery product,chewing gum,,,,,,,,,,,,,
waffles,salt,domestic eggs,chewing gum,ice cream,,,,,,,,,,,,
chewing gum,honey,ice cream,waffles,,,,,,,,,,,,,
nuts/prunes,chewing gum,ice cream,kitchen utensil,waffles,,,,,,,,,,,,
ready soups,ice cream,candy,waffles,chewing gum,vinegar,,,,,,,,,,,
whipped/sour cream,chewing gum,female sanitary products,ice cream,waffles,,,,,,,,,,,,
grapes,chewing gum,popcorn,waffles,ice cream,fruit/vegetable juice,,,,,,,,,,,
shopping bags,chewing gum,waffles,ice cream,,,,,,,,,,,,,
instant coffee,chewing gum,chewing gum,ice cream,waffles,other vegetables,,,,,,,,,,,
frankfurter,ice cream,waffles,chewing gum,,,,,,,,,,,,,
ice cream,candy,waffles,chewing gum,,,,,,,,,,,,,
chewing gum,waffles,ice cream,processed cheese,chocolate,,,,,,,,,,,,
waffles,chewing gum,ice cream,frozen chicken,,,,,,,,,,,,,
ice cream,specialty fat,waffles,chewing gum,liquor (appetizer),,,,,,,,,,,,
waffles,ice cream,chewing gum,whole milk,,,,,,,,,,,,,
